institution	group	former_poly
Aberdeen		No
Abertay Dundee	Million	No
Aberystwyth		No
Anglia Ruskin	Million	Yes
Aston		No
Bangor		No
Bath		No
Bath Spa	Million	No
Bedfordshire	Million	No
Birmingham	Russell	No
Birmingham City	Million	Yes
Bolton	Million	No
Bournemouth	Alliance	Yes
Bradford		No
Brighton		Yes
Bristol	Russell	No
Brunel		No
Bucks New University		No
Cambridge	Russell	No
Canterbury Christ Church	Million	No
Cardiff	Russell	No
Cardiff Met	Alliance	No
Central Lancashire		Yes
Chester		No
Chichester	Guild	No
City		No
Coventry	Alliance	Yes
Cumbria	Million	No
De Montfort		Yes
Derby		No
Dundee		No
Durham	Russell	No
East London	Million	Yes
Edge Hill		No
Edinburgh	Russell	No
Edinburgh Napier	Million	Yes
Essex	1994	No
Exeter	Russell	No
Falmouth	Guild	No
Glasgow	Russell	No
Glasgow Caledonian		No
Gloucestershire		No
Glyndŵr		No
Goldsmiths	1994	No
Greenwich	Alliance	Yes
Heriot-Watt		No
Hertfordshire	Alliance	Yes
Huddersfield	Alliance	Yes
Hull		No
Imperial College	Russell	No
Keele		No
Kent		No
King's College London	Russell	No
Kingston	Alliance	Yes
Lancaster	1994	No
Leeds	Russell	No
Leeds Met		Yes
Leeds Trinity	Guild	No
Leicester	1994	No
Lincoln	Alliance	No
Liverpool	Russell	No
Liverpool John Moores	Alliance	Yes
London Met	Million	Yes
London School of Economics	Russell	No
London South Bank		No
Loughborough	1994	No
Manchester	Russell	No
Manchester Met	Alliance	Yes
Middlesex	Million	Yes
Newcastle	Russell	No
Northampton		No
Northumbria	Alliance	Yes
Nottingham	Russell	No
Nottingham Trent	Alliance	Yes
Oxford	Russell	No
Oxford Brookes	Alliance	Yes
Plymouth	Alliance	Yes
Portsmouth	Alliance	Yes
Queen Margaret		No
Queen Mary	Russell	No
Queen's, Belfast	Russell	No
Reading		No
Robert Gordon		No
Roehampton		No
Royal Holloway	1994	No
Salford	Alliance	No
Sheffield	Russell	No
Sheffield Hallam	Alliance	Yes
SOAS	1994	No
South Wales	Alliance	No
Southampton	Russell	No
Southampton Solent	Guild	No
St Andrews		No
St Mary's UC, Twickenham	Guild	No
Staffordshire	Million	Yes
Stirling		No
Strathclyde		No
Sunderland	Million	Yes
Surrey		No
Sussex	1994	No
Swansea		No
Teesside	Alliance	Yes
UCL	Russell	No
UEA		No
Ulster		Yes
University Campus Suffolk		No
University of the Arts London		No
UWE Bristol	Alliance	Yes
Warwick	Russell	No
West London	Million	Yes
West of Scotland	Million	No
Westminster		Yes
Winchester	Guild	No
Worcester	Guild	No
York	Russell	No
York St John	Guild	No
